Entry ID,Date start (dd),Date start (mm),Date start (yyyy),Season start,Date end (dd),Date end (mm),Date end (yyyy),Season end,Text,Reference,Country,NUTS1,NUTS2,NUTS3,Location,DPSIR,Sector,Water Company,Water Company 2018,WR typology,WR typology sub-category
1,1,1,1890,Winter,31,12,1890,Winter,"1890 Wiltshire, ‘In the deep well in the chalk which supplies Devizes Waterworks, the water is now 98 feet from the surface and can be pumped out in a few hours’;",Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,England,UKK,UKK1,UKK15,Devizes,S,Water Resources,,Bristol Water,Supply,
2,1,9,1890,Autumn,30,9,1890,Autumn,"Many reports of dried up rivers (e.g., River Lambourne from September 1890; Great Malvern, 'The brooks and the river Teme were nearly dry for a great part of the year and at the close the whole district was short of water.').",Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,England,UKG,UKG1,UKG11,"Teme Valley, Herefordshire",IS,Water Resources,,Dwr Cymru Welsh Water,Supply,
3,1,9,1890,Autumn,30,9,1890,Autumn,"Many reports of dried up rivers (e.g., River Lambourne from September 1890; Great Malvern, 'The brooks and the river Teme were nearly dry for a great part of the year and at the close the whole district was short of water.').",Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,England,UKJ,UKJ1,UKJ11,River Lambourne,IS,Water Resources,,Affinity Water,Supply,
4,1,9,1890,Autumn,30,9,1890,Autumn,"Many reports of dried up rivers (e.g., River Lambourne from September 1890; Great Malvern, 'The brooks and the river Teme were nearly dry for a great part of the year and at the close the whole district was short of water.').",Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,England,UKG,UKG1,UKG12,Great Malvern,IS,Water Resources,,Dwr Cymru Welsh Water,Supply,
5,1,10,1890,Autumn,31,12,1890,Winter,"Many failed or exceptionally low wells. For example, December 1890 Hungerford, ‘Nearly all the wells were dry at the close and had been so for two or three months’;",Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,England,UKJ,UKJ1,UKJ11,Hungerford,IS,Water Resources,,Affinity Water,Supply,
6,1,10,1890,Autumn,30,9,1891,Autumn,"Summer 1891 Hungerford, ‘Great scarcity of water in wells from October, 1890, to the end of September, 1891’;",Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,England,UKJ,UKJ1,UKJ11,Hungerford,IS,Water Resources,,Affinity Water,Supply,
7,1,12,1890,Winter,31,12,1890,Winter,"Water scarcity reported in 1890 in Berkshire, Tunbridge Wells, Kent, Gloucester and Mansfield. For example, ‘Gloucester experienced a water famine and water from the Severn had to be used’; Mansfield, ‘There was scarcity of water, the town being put by the water company on short allowance ... The fourth successive year with rain below the average of twenty years ... ’.",Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,England,UKJ,"UKJ1, UKJ4","UKJ11, UKJ46","Berkshire, Tunbridge Wells, Kent",RS,Water Resources,,Thames Water,"Supply, Demand",Water rationing
8,1,12,1890,Winter,31,12,1890,Winter,"Water scarcity reported in 1890 in Berkshire, Tunbridge Wells, Kent, Gloucester and Mansfield. For example, ‘Gloucester experienced a water famine and water from the Severn had to be used’; Mansfield, ‘There was scarcity of water, the town being put by the water company on short allowance ... The fourth successive year with rain below the average of twenty years ... ’.",Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,England,UKK,UKK1,UKK13,Gloucester,RS,Water Resources,,Bristol Water,"Supply, Demand",Water rationing
9,1,12,1890,Winter,31,12,1890,Winter,"Water scarcity reported in 1890 in Berkshire, Tunbridge Wells, Kent, Gloucester and Mansfield. For example, ‘Gloucester experienced a water famine and water from the Severn had to be used’; Mansfield, ‘There was scarcity of water, the town being put by the water company on short allowance ... The fourth successive year with rain below the average of twenty years ... ’.",Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,England,UKF,UKF1,UKF15,Mansfield,RS,Water Resources,,Anglian Water,"Supply, Demand",Water rationing
10,1,12,1890,Winter,31,12,1890,Winter,"The water in the reservoir belonging to Boston Water works at Miningsby was, at the close of the year, lower than it had ever been before",Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,England,UKF,UKF3,UKF30,Miningsby,S,Water Resources,,Anglian Water,Supply,
11,1,2,1891,Winter,30,11,1891,Autumn,"1891 Pang, Berkshire, ‘The unusually dry February caused a great scarcity of water, most of the chalk wells and streams being dry till November; then the abundant autumnal rain caused a good flow in each case, but seriously hindered the harvest.’",Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,England,UKJ,UKJ1,UKJ11,River Pang,IS,Water Resources,,Affinity Water,Supply,
12,1,1,1893,Winter,31,12,1893,Winter,"""When piped water organised from a large well in Holme Park was introduced to Sonning village in 1893, after a year of drought, it was warmly welcomed.....""",British Hydrological Society. BHS Chronology of British Hydrological Events. ,England,UKJ,UKJ1,UKJ11,Sonning,R,Water Resources,,Affinity Water,Supply,System
13,22,6,1893,Summer,22,6,1893,Summer,"1893 June 22 Derwentwater drought: ""Only in two years [since 1851] has the lake gone below Otley's 'zero' of 1824. In 1887 ...[and] At the present time it is 5 inches below Otley's mark, or 1 inch above the lowest water level recorded by Otley [in 1826]""",British Hydrological Society. BHS Chronology of British Hydrological Events. ,England,UKD,UKD1,UKD11,Derwent Water,S,Water Resources,,Scotland,Supply,
14,1,6,1895,Summer,1,6,1895,Summer,,"Taylor, V., Chappells, H., Medd, W. & Trentmann, F. (2009) Drought is normal: the socio-technical evolution of drought and water demand in England and Wales, 1893-2006, Journal of Historical Geography, 35, 568-591",England,UKI,"UKI4, UKI5",,East London Waterworks Company,IR,Water Resources,,Thames Water,Demand,Rota cuts
15,1,6,1896,Summer,1,6,1896,Summer,,"Taylor, V., Chappells, H., Medd, W. & Trentmann, F. (2009) Drought is normal: the socio-technical evolution of drought and water demand in England and Wales, 1893-2006, Journal of Historical Geography, 35, 568-591",England,UKI,"UKI4, UKI5",,East London Waterworks Company,IR,Water Resources,,Thames Water,Demand,Rota cuts
16,1,6,1897,Summer,30,11,1898,Autumn,,"Shadwell, A (1899) The London Water Supply",England,UKH,UKH2,UKH23,Hertfordshire,IR,Water Resources,,Affinity Water,Supply,
17,31,10,1897,Autumn,30,4,1898,Spring,"Near Wallingford: "" Some six months ago I wrote to you saying that I feared the water supply in many parts of the country would be short during the summer of this year, and this has, unfortunately, proved to be true. I based my prediction on the state of a well at Long Wittenham, Berks, in the upper green sand, which in a record of measurements beginning with 1868 had always shown a rise of water in the first three months of the year, but in this year no rise had taken place. This well has continuously fallen, and is now very nearly dry. I have never known it before with less than 7ft. or 8 ft. of water during the middle six months of the year. The drought of the past summer has aggravated, but has not caused, the short water supply, for we have had such droughts before. It is due to the dry time from October, 1897, to April, 1898. .... There has been a great outcry about the water supply in the East-end of London, but.... there are many parts of the country which are worse off than they are. I have been told that on the Oxfordshire Hills people are paying for water by the pailful. """,British Hydrological Society. BHS Chronology of British Hydrological Events. ,England,UKJ,UKJ1,UKJ14,Long Whittenham,SIR,Water Resources,,Thames Water,Supply,
18,1,1,1898,Winter,31,12,1898,Winter,General failure of the wells in the chalk (River Pang),Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,England,UKJ,UKJ1,UKJ11,River Pang,I,Water Resources,,Affinity Water,Supply,
19,1,1,1898,Winter,31,12,1898,Winter,"Many wells had to be deepend, owing to the failure of springs",Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,United Kingdom,,,,,IR,Water Resources,,,Supply,
20,1,1,1898,Winter,31,12,1898,Winter,"Norfolk, 'in many cases, water had to be carted'",Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,England,UKH,UKH1,"UKH16, UKH17",Norfolk,R,Water Resources,,Anglian Water,Supply,Transfer
21,1,6,1898,Summer,1,6,1898,Summer,,"Taylor, V., Chappells, H., Medd, W. & Trentmann, F. (2009) Drought is normal: the socio-technical evolution of drought and water demand in England and Wales, 1893-2006, Journal of Historical Geography, 35, 568-591",England,UKI,"UKI4, UKI5",,East London Waterworks Company,IR,Water Resources,,Thames Water,Demand,Rota cuts
22,1,6,1898,Summer,1,8,1898,Summer,,"Taylor, V., Chappells, H., Medd, W. & Trentmann, F. (2009) Drought is normal: the socio-technical evolution of drought and water demand in England and Wales, 1893-2006, Journal of Historical Geography, 35, 568-591",England,UKI,"UKI4, UKI5","UKI41, UKI53",Walthamstow Reservoirs,S,Water Resources,,Thames Water,Supply,
